Year,Site,Plot,Subplot,Species_name,Number,DPM_Height,Fencing,Treatment,
2024,A,5,Z2,Bothriochloa insculpta,4,14.8,Unfenced,THF,
2024,A,5,Z2,Heteropogon contortus,3,17,Unfenced,THF,
2024,A,5,Z2,Aristida adscensionis,1,19.8,Unfenced,THF,
2024,A,5,Z2,Melinis repens,1,NA,Unfenced,THF,
2024,A,5,Z2,Megathyrsus maximus,3,10.8,Unfenced,THF,
2024,A,5,Z2,Hyparrhenia filipendula,1,9.2,Unfenced,THF,
2024,A,5,Z2,NA,NA,11.4,Unfenced,THF,
2024,A,5,Z2,NA,NA,10.3,Unfenced,THF,
2024,A,5,Z2,Heteropogon contortus,6,17.7,Unfenced,THF,
2024,A,5,Z2,Hyparrhenia filipendula,4,17.5,Unfenced,THF,
2024,A,5,Z2,Cymbopogon caesius,1,17.4,Unfenced,THF,
2024,A,5,Z2,NA,NA,16.4,Unfenced,THF,
2024,A,5,Z2,Urochloa trichopus,5,15.1,Unfenced,THF,
2024,A,5,Z2,Cymbopogon caesius,1,17.3,Unfenced,THF,
2024,A,5,Z2,NA,NA,20.1,Unfenced,THF,
2024,A,5,Z2,NA,NA,22.7,Unfenced,THF,
2024,A,5,Z3,Bothriochloa insculpta,1,29.8,Fenced,THF,
2024,A,5,Z3,Urochloa trichopus,1,26.7,Fenced,THF,
2024,A,5,Z3,NA,NA,22.3,Fenced,THF,
2024,A,5,Z3,NA,NA,22.3,Fenced,THF,
2024,A,5,Z3,Bothriochloa insculpta,9,36.3,Fenced,THF,
2024,A,5,Z3,Heteropogon contortus,2,34.5,Fenced,THF,
2024,A,5,Z3,Eragrostis gummiflua,1,34.2,Fenced,THF,
2024,A,5,Z3,Andropogon eucomus,3,34.5,Fenced,THF,
2024,A,5,Z3,Aristida adscensionis,1,20.4,Fenced,THF,
2024,A,5,Z3,Bothriochloa insculpta,21,17.1,Fenced,THF,
2024,A,5,Z3,NA,NA,19.3,Fenced,THF,
2024,A,5,Z3,NA,NA,18.6,Fenced,THF,
2024,A,5,Z3,Bothriochloa insculpta,10,17.1,Fenced,THF,
2024,A,5,Z3,Aristida adscensionis,1,17,Fenced,THF,
2024,A,5,Z3,Cymbopogon caesius,1,20.2,Fenced,THF,
2024,A,5,Z3,Eragrostis superba,1,22.5,Fenced,THF,
