I.D.code,Latitude,Longitude,Elevation,Date,Time,,,,,,
SBP3Z4Q5,-19.71272701,29.32179202,1339.449219,2024-04-13T08:54:39Z,NA,,,,,,
SBP4Z1Q1,-19.71276004,29.32115701,1343.336182,2024-04-13T09:40:02Z,NA,,,,,,
SBP4Z1Q2,-19.71273699,29.32090497,1344.907837,2024-04-13T09:46:16Z,NA,,,,,,
SBP4Z1Q3,-19.712609,29.32097697,1346.410645,2024-04-13T09:53:13Z,NA,,,,,,
SBP4Z1Q4,-19.71264797,29.32120303,1346.648315,2024-04-13T10:01:41Z,NA,,,,,,
SBP4Z1Q5,-19.71265904,29.32104503,1346.598389,2024-04-13T10:02:37Z,NA,,,,,,
SBP4Z2Q1,-19.712639,29.32120596,1340.517456,2024-04-13T12:06:15Z,NA,,,,,,
SBP4Z2Q2,-19.71258502,29.320969,1339.143799,2024-04-13T12:18:19Z,NA,,,,,,
SBP4Z2Q3,-19.71249299,29.321011,1338.09729,2024-04-13T12:33:15Z,NA,,,,,,
SBP4Z2Q4,-19.712524,29.32126103,1340.208984,2024-04-13T12:08:25Z,NA,,,,,,
SBP4Z2Q5,-19.71257304,29.321097,1338.55896,2024-04-13T12:35:38Z,NA,,,,,,
SBP4Z3Q1,-19.71272903,29.320767,1332.059082,2024-04-13T13:24:25Z,NA,,,,,,
SBP4Z3Q2,-19.71268301,29.32057799,1333.445923,2024-04-13T13:31:01Z,NA,,,,,,
SBP4Z3Q3,-19.712595,29.320623,1333.318848,2024-04-13T13:36:35Z,NA,,,,,,
SBP4Z3Q4,-19.71263498,29.32089499,1333.551514,2024-04-13T13:54:03Z,NA,,,,,,
SBP4Z3Q5,-19.71267404,29.32074001,1333.005615,2024-04-13T13:45:44Z,NA,,,,,,
SBP4Z4Q1,-19.71256801,29.32089902,1338.666016,2024-04-13T12:23:16Z,NA,,,,,,
SBP4Z4Q2,-19.71255996,29.32066298,1332.894287,2024-04-13T13:40:01Z,NA,,,,,,
SBP4Z4Q3,-19.71243901,29.32071797,1334.83252,2024-04-13T14:10:01Z,NA,,,,,,
SBP4Z4Q4,-19.71265099,29.32120202,1346.157104,2024-04-13T09:55:47Z,NA,,,,,,
SBP4Z4Q5,-19.71253599,29.32083003,1334.480957,2024-04-13T14:04:19Z,NA,,,,,,
SBP5Z1Q1,-19.71320998,29.32084302,1338.105103,2024-04-14T06:55:17Z,NA,,,,,,
SBP5Z1Q2,-19.71331299,29.32077899,1338.456421,2024-04-14T07:01:18Z,NA,,,,,,
SBP5Z1Q3,-19.71325499,29.32055896,1340.21228,2024-04-14T07:20:49Z,NA,,,,,,
SBP5Z1Q4,-19.71338198,29.32076197,1339.00061,2024-04-14T07:08:16Z,NA,,,,,,
SBP5Z1Q5,-19.71324602,29.32069902,1340.657349,2024-04-14T07:48:03Z,NA,,,,,,
SBP5Z2Q1,-19.71312096,29.32055896,1342.157959,2024-04-14T08:02:43Z,NA,,,,,,
SBP5Z2Q2,-19.71322599,29.32044396,1340.208374,2024-04-14T07:27:24Z,NA,,,,,,
SBP5Z2Q3,-19.71317503,29.32028504,1342.340088,2024-04-14T08:16:20Z,NA,,,,,,
SBP5Z2Q4,-19.71307897,29.32031999,1342.396606,2024-04-14T08:07:41Z,NA,,,,,,
SBP5Z2Q5,-19.71314804,29.32037598,1342.190796,2024-04-14T08:44:47Z,NA,,,,,,
SBP5Z3Q1,-19.71333797,29.320724,1339.797974,2024-04-14T07:55:47Z,NA,,,,,,
SBP5Z3Q2,-19.71346202,29.32067103,1343.849731,2024-04-14T09:08:34Z,NA,,,,,,
SBP5Z3Q3,-19.71340503,29.32045796,1342.067505,2024-04-14T08:49:13Z,NA,,,,,,
SBP5Z3Q4,-19.71332003,29.32051797,1339.20459,2024-04-14T07:36:01Z,NA,,,,,,
SBP5Z3Q5,-19.713386,29.320608,1343.779541,2024-04-14T08:57:54Z,NA,,,,,,
SBP5Z4Q1,-19.71328097,29.32044597,1339.965454,2024-04-14T07:34:50Z,NA,,,,,,
SBP5Z4Q2,-19.71338701,29.32041203,1341.779053,2024-04-14T08:38:13Z,NA,,,,,,
SBP5Z4Q3,-19.71335398,29.32015898,1342.122314,2024-04-14T08:29:15Z,NA,,,,,,
SBP5Z4Q4,-19.71320696,29.32023098,1341.247437,2024-04-14T08:19:04Z,NA,,,,,,
SBP5Z4Q5,-19.71333403,29.32030801,1342.104736,2024-04-14T08:31:03Z,NA,,,,,,
SCP1Z1Q1,-19.662089,29.33217603,1317.816406,2024-04-12T06:48:52Z,NA,,,,,,
SCP1Z1Q2,-19.66216402,29.33195801,1317.610718,2024-04-12T06:52:23Z,NA,,,,,,
SCP1Z1Q3,-19.66206302,29.33193698,1318.133911,2024-04-12T06:59:45Z,NA,,,,,,
SCP1Z1Q4,-19.66200996,29.33209699,1317.036865,2024-04-12T07:19:45Z,NA,,,,,,
SCP1Z1Q5,-19.66207702,29.33202197,1317.653564,2024-04-12T07:29:16Z,NA,,,,,,
SCP1Z2Q1,-19.66190703,29.33209296,1317.422241,2024-04-12T07:23:02Z,NA,,,,,,
SCP1Z2Q2,-19.662017,29.33189297,1318.886841,2024-04-12T07:04:14Z,NA,,,,,,
SCP1Z2Q3,-19.66193503,29.33183396,1316.735229,2024-04-12T07:35:45Z,NA,,,,,,
SCP1Z2Q4,-19.66180603,29.33204996,1315.719116,2024-04-12T07:43:47Z,NA,,,,,,
SCP1Z2Q5,-19.66192799,29.33197402,1315.302368,2024-04-12T07:47:39Z,NA,,,,,,
SCP1Z3Q1,-19.66206201,29.33247903,1318.745605,2024-04-12T09:25:51Z,NA,,,,,,
SCP1Z3Q2,-19.66206998,29.33223797,1317.580078,2024-04-12T09:15:17Z,NA,,,,,,
SCP1Z3Q3,-19.661988,29.33220101,1316.321533,2024-04-12T08:29:03Z,NA,,,,,,
SCP1Z3Q4,-19.66194299,29.33239798,1314.647217,2024-04-12T08:15:10Z,NA,,,,,,
SCP1Z3Q5,-19.66200502,29.33233,1318.42981,2024-04-12T09:17:18Z,NA,,,,,,
SCP1Z4Q1,-19.66185498,29.332359,1314.61377,2024-04-12T08:11:47Z,NA,,,,,,
SCP1Z4Q2,-19.66190997,29.33218198,1316.411621,2024-04-12T08:22:56Z,NA,,,,,,
SCP1Z4Q3,-19.66180301,29.33212096,1313.783691,2024-04-12T07:57:05Z,NA,,,,,,
SCP1Z4Q4,-19.66176496,29.33232103,1313.436401,2024-04-12T08:02:35Z,NA,,,,,,
SCP1Z4Q5,-19.66185104,29.332258,1316.30481,2024-04-12T08:37:33Z,NA,,,,,,
SCP2Z1Q1,-19.662247,29.33279696,1313.261597,2024-04-12T13:19:33Z,NA,,,,,,
SCP2Z1Q2,-19.66236896,29.33282001,1313.376343,2024-04-12T13:26:37Z,NA,,,,,,
SCP2Z1Q3,-19.66238799,29.33256696,1317.46936,2024-04-12T13:02:40Z,NA,,,,,,
SCP2Z1Q4,-19.662289,29.33258599,1315.395508,2024-04-12T13:09:23Z,NA,,,,,,
SCP2Z1Q5,-19.66230299,29.33269001,1311.921143,2024-04-12T13:42:20Z,NA,,,,,,
SCP2Z2Q1,-19.662304,29.33250804,1309.504395,2024-04-12T13:58:51Z,NA,,,,,,
SCP2Z2Q2,-19.662405,29.33253704,1309.449707,2024-04-12T13:54:56Z,NA,,,,,,
SCP2Z2Q3,-19.66243903,29.33232699,1317.754883,2024-04-12T12:39:19Z,NA,,,,,,
SCP2Z2Q4,-19.66235798,29.33227996,1310.567627,2024-04-12T14:03:29Z,NA,,,,,,
SCP2Z2Q5,-19.66241104,29.33239496,1309.974243,2024-04-12T14:07:33Z,NA,,,,,,
SCP2Z3Q1,-19.66241296,29.33278296,1312.825317,2024-04-12T13:33:13Z,NA,,,,,,
SCP2Z3Q2,-19.662592,29.33259403,1321.224976,2024-04-12T12:19:14Z,NA,,,,,,
SCP2Z3Q3,-19.66256099,29.33279302,1311.341797,2024-04-12T13:49:54Z,NA,,,,,,
SCP2Z3Q4,-19.66245102,29.33259596,1316.592407,2024-04-12T12:55:32Z,NA,,,,,,
SCP2Z3Q5,-19.66246904,29.33272596,1311.566162,2024-04-12T13:37:30Z,NA,,,,,,
SCP2Z4Q1,-19.66245697,29.33253,1317.289551,2024-04-12T12:47:09Z,NA,,,,,,
SCP2Z4Q2,-19.66258203,29.33256302,1319.594116,2024-04-12T12:25:55Z,NA,,,,,,
SCP2Z4Q3,-19.66260198,29.33234098,1319.218994,2024-04-12T12:30:45Z,NA,,,,,,
SCP2Z4Q4,-19.66251397,29.33235297,1317.67688,2024-04-12T12:35:40Z,NA,,,,,,
SCP2Z4Q5,-19.66250198,29.33245598,1317.783203,2024-04-12T12:50:16Z,NA,,,,,,
SCP3Z1Q1,-19.71316899,29.32199897,1342.164429,2024-04-13T07:02:49Z,NA,,,,,,
SCP3Z1Q2,-19.66204198,29.33105696,1318.595337,2024-04-15T09:31:36Z,NA,,,,,,
SCP3Z1Q3,-19.66186202,29.33154001,1316.798584,2024-04-15T09:18:23Z,NA,,,,,,
SCP3Z1Q4,-19.66240902,29.33186397,1317.91626,2024-04-15T09:22:10Z,NA,,,,,,
SCP3Z1Q5,-19.66196897,29.331768,1320.38562,2024-04-15T09:49:59Z,NA,,,,,,
SCP3Z2Q1,-19.66197099,29.33125603,1318.96582,2024-04-15T09:34:50Z,NA,,,,,,
SCP3Z2Q2,-19.66179497,29.33151503,1314.204712,2024-04-15T09:03:50Z,NA,,,,,,
SCP3Z2Q3,-19.66178901,29.33150296,1314.28064,2024-04-15T09:04:46Z,NA,,,,,,
SCP3Z2Q4,-19.66189697,29.33153196,1314.848145,2024-04-15T09:11:20Z,NA,,,,,,
SCP3Z2Q5,-19.66186403,29.33142702,1316.028809,2024-04-15T09:29:40Z,NA,,,,,,
SCP3Z4Q1,-19.66221197,29.33109996,1315.047607,2024-04-15T07:37:59Z,NA,,,,,,
SCP3Z4Q2,-19.66205497,29.33107004,1314.914062,2024-04-15T07:42:40Z,NA,,,,,,
SCP3Z4Q3,-19.66200904,29.331236,1315.278564,2024-04-15T07:48:22Z,NA,,,,,,
SCP3Z4Q4,-19.66214399,29.33128604,1315.370361,2024-04-15T07:57:37Z,NA,,,,,,
SCP3Z4Q5,-19.662103,29.33115,1315.605103,2024-04-15T08:01:02Z,NA,,,,,,
SCP3Z4Q1,-19.66201499,29.33103399,1315.163696,2024-04-15T07:44:55Z,NA,,,,,,
SCP3Z4Q2,-19.66190301,29.33099301,1314.663452,2024-04-15T08:12:20Z,NA,,,,,,
