I.D_code,Latitude,Longitude,Elevation,Date,Time
SBP2Z3Q3,-19.71234396,29.32215898,1340.114014,2024-04-13T05:55:15Z,
SBP2Z3Q4,-19.71224598,29.32223702,1342.577026,2024-04-13T06:14:49Z,
SBP2Z3Q5,-19.71240498,29.32227398,1341.608398,2024-04-13T06:09:50Z,
SBP2Z4CR0,-19.71252803,29.32242603,1333.733887,2024-03-26T13:44:11Z,
SBP2Z4CR2,-19.71234103,29.32209997,1339.612427,2024-04-13T05:40:09Z,
SBP2Z4CR3,-19.71217297,29.321888,1340.180542,2024-04-13T05:36:28Z,
SBP2Z4Q1,-19.71219602,29.32216602,1339.171875,2024-04-13T05:45:17Z,
SBP2Z4Q2,-19.71231303,29.32209101,1339.120117,2024-04-13T05:41:22Z,
SBP2Z4Q3,-19.71218303,29.321931,1340.222534,2024-04-13T05:35:04Z,
SBP2Z4Q4,-19.71206199,29.32199302,1340.613647,2024-04-13T05:31:16Z,
SBP2Z4Q5,-19.71217297,29.322047,1339.588013,2024-04-13T05:49:46Z,
SBP3Z1CR0,-19.71288803,29.322219,1334.21228,2024-03-26T13:51:30Z,
SBP3Z1CR1,-19.71321099,29.32202697,1342.009644,2024-04-13T07:12:49Z,
SBP3Z1CR2,-19.71304704,29.32177803,1341.851196,2024-04-13T07:11:24Z,
SBP3Z1CR3,-19.712912,29.32186503,1341.394165,2024-04-13T07:20:02Z,
SBP3Z1CR4,-19.71306204,29.32212001,1336.290039,2024-04-13T07:46:49Z,
SBP3Z1Q2,-19.71303103,29.32181398,1341.749023,2024-04-13T07:10:10Z,
SBP3Z1Q3,-19.71295903,29.32187098,1340.475952,2024-04-13T07:21:21Z,
SBP3Z1Q4,-19.71305097,29.32205899,1335.894775,2024-04-13T07:46:01Z,
SBP3Z1Q5,-19.71306204,29.32193502,1336.590942,2024-04-13T07:40:53Z,
SBP3Z2CR0,-19.71263699,29.32171399,1333.240112,2024-03-26T14:11:32Z,
SBP3Z2CR3,-19.71274202,29.32196201,1338.176514,2024-04-13T08:07:46Z,
SBP3Z2CR4,-19.71288904,29.32220399,1336.88147,2024-04-13T07:52:51Z,
SBP3Z2Q1,-19.71299297,29.32208899,1335.037231,2024-04-13T07:49:53Z,
SBP3Z2Q2,-19.71290303,29.32191197,1338.995483,2024-04-13T07:32:06Z,
SBP3Z2Q3,-19.71277898,29.32198003,1337.399536,2024-04-13T08:05:17Z,
SBP3Z2Q4,-19.712898,29.32216904,1336.534058,2024-04-13T07:53:51Z,
SBP3Z2Q5,-19.71288401,29.32203602,1337.565674,2024-04-13T08:13:15Z,
SBP3Z3CR2,-19.71289599,29.32151601,1336.292358,2024-04-13T08:28:41Z,
SBP3Z3CR3,-19.71274202,29.321616,1336.545166,2024-04-13T08:33:47Z,
SBP3Z3CR4,-19.71256499,29.32061302,1333.462158,2024-04-13T13:36:06Z,
SBP3Z3Q1,-19.71301996,29.32174701,1341.770874,2024-04-13T07:14:54Z,
SBP3Z3Q2,-19.71289599,29.32156504,1336.263062,2024-04-13T08:29:20Z,
SBP3Z3Q3,-19.71277999,29.32162003,1336.420044,2024-04-13T08:34:36Z,
