Site,Spp_name
D,Heteropogon contortus
D,Brachiaria nigropedata
D,Eragrostis gummiflua 
D,Enteropogon macrostachyus
D,Setaria pumila 
D,Panicum maximum
D,Enteropogon macrostachyus
D,Aristida adscensionis
D,Heteropogon contortus
D,Aristida adscensionis
D,Brachiaria nigropedata
D,Themeda triandra
D,Heteropogon contortus
D,Andropogon eucomus
D,Heteropogon contortus
D,Digitaria eriantha
D,Enteropogon macrostachyus
D,Heteropogon contortus
D,Sporobolus ioclados
D,Setaria incrassata
D,Heteropogon contortus
D,Brachiaria nigropedata
D,Melinis repens
D,Enteropogon macrostachyus
D,Sporobolus ioclados
D,Heteropogon contortus
D,Aristida adscensionis
D,Enteropogon macrostachyus
D,Heteropogon contortus
D,Themeda triandra 
D,Aristida adscensionis
D,Enteropogon macrostachyus
D,Melinis repens
D,Eragrostis gummiflua 
D,Enteropogon macrostachyus
D,Aristida adscensionis
D,Enteropogon macrostachyus
D,Aristida adscensionis
D,Heteropogon contortus
D,Enteropogon macrostachyus
D,Digitaria eriantha
D,Setaria incrassata
D,Sporobolus ioclados
D,Heteropogon contortus
D,Aristida diffusa 
D,Heteropogon contortus
D,Sporobolus ioclados
D,Aristida diffusa 
D,Eragrostis rigidior
D,Andropogon eucomus
D,Heteropogon contortus
D,Setaria incrassata
D,Andropogon eucomus
D,Enteropogon macrostachyus
D,Heteropogon contortus
D,Andropogon eucomus
D,Enteropogon macrostachyus
D,Eragrostis superba
