Site,Spp_name,Max_Height,Stem_count
A,Bolusanthus Speciosus,1.7,6
A,Combretum Hereroense,0.45,1
A,Warburgia Salutaris,2.2,12
A,Bolusanthus Speciosus,1,2
A,Bolusanthus Speciosus,2.2,3
A,Allophylus Africanus,2.3,2
A,Fluegga Virosa,0.8,1
A,Dichrostachys Cinerea,1,5
A,Vachellia Karroo,1.5,1
A,Terminalia Sericea,0.8,1
A,Carissa Bispinosa,1.5,2
A,Combretum Imberbe,1.1,1
A,Combretum Imberbe,1.8,1
A,Diospyros Lycioides,0.8,1
A,Diospyros Lycioides,1.1,4
A,Combretum Imberbe,0.6,1
A,Azanza Garckeana,0.8,3
A,Bolusanthus Speciosus,2.3,1
A,Carissa Bispinosa,2.1,10
A,Albizia Harveyi,0.3,2
A,Dichrostachys Cinerea,3.1,2
A,Allophylus Africanus,2.1,7
A,Peltophorum Africanum,2,3
A,Dichrostachys Cinerea,1.6,5
A,Ozoroa Insignis,1.2,1
A,Zanthoxylum Capense,1.3,1
A,Bolusanthus Speciosus,3,5
A,Warburgia Salutaris,1.4,4
A,Dichrostachys Cinerea,2.6,1
A,Combretum Hereroense,0.5,2
A,Senegalia Ataxacantha,1.5,3
A,Bolusanthus Speciosus,1.8,6
A,Bolusanthus Speciosus,4.5,3
A,Gymnosporia Senegalensis,0.9,2
A,Vachellia Nilotica,0.45,1
A,Combretum Apiculatum,0.35,1
A,Ozoroa Insignis,2,6
A,Combretum Hereroense,2.5,4
A,Ziziphus Mucronata,1.3,1
A,Warburgia Salutaris,0.45,2
A,Berchemia Zeyheri,0.8,5
A,Lippia Javanica,0.8,1
A,Vachellia Gerrardii,1.5,2
A,Senegalia Ataxacantha,1.2,4
A,Euclea Divinorum,1.8,4
A,Carissa Bispinosa,2,3
A,Bolusanthus Speciosus,1.3,3
A,Ozoroa Insignis,1.5,1
A,Combretum Hereroense,0.9,1
A,Diplorhynchus Condylocarpon,1.1,1
A,Senegalia Ataxacantha,2.1,4
A,Bolusanthus Speciosus,2.2,6
A,Combretum Hereroense,1,2
A,Peltophorum Africanum,1.1,2
A,Berchemia Zeyheri,2,2
A,Berchemia Zeyheri,1.5,2
A,Combretum Hereroense,2.5,1
A,Vachellia Gerrardii,0.9,1
A,Vachellia Karroo,0.9,2
A,Dichrostachys Cinerea,0.9,2
A,Gymnosporia Senegalensis,1.3,1
A,Ziziphus Mucronata,2.1,1
A,Combretum Apiculatum,2.1,1
A,Bolusanthus Speciosus,2,5
A,Combretum Hereroense,3,5
A,Dichrostachys Cinerea,2.8,2
A,Peltophorum Africanum,1.5,3
A,Vachellia Nilotica,0.6,2
A,Combretum Hereroense,1.5,3
A,Carissa Bispinosa,0.7,2
A,Ozoroa Insignis,0.45,1
A,Peltophorum Africanum,0.7,1
A,Peltophorum Africanum,1.2,2
A,Combretum Hereroense,2.2,1
A,Peltophorum Africanum,2.3,1
A,Rhus Longipes,1.2,4
A,Bolusanthus Speciosus,2.6,6
A,Warburgia Salutaris,2.4,6
A,Combretum Hereroense,3.8,2
A,Grewia Flavescens,0.4,2
A,Dalbergia Melanoxylon,0.25,1
A,Combretum Apiculatum,3,2
A,Bolusanthus Speciosus,1.9,4
A,Euclea Divinorum,1.7,1
A,Warburgia Salutaris,1.7,1
A,Lannea Discolor,0.9,1
A,Carissa Bispinosa,2,1
A,Carissa Bispinosa,2.1,3
A,Diospyros Lycioides,1.3,1
A,Senegalia Ataxacantha,1.1,3
A,Peltophorum Africanum,2.2,5
A,Ozoroa Insignis,2,2
A,Euclea Divinorum,1,1
A,Peltophorum Africanum,2,2
A,Bolusanthus Speciosus,2.4,11
A,Peltophorum Africanum,2.1,2
A,Vachellia Gerrardii,0.6,1
A,Dichrostachys Cinerea,1.5,7
A,Warburgia Salutaris,2,2
A,Grewia Flavescens,1.9,3
A,Bolusanthus Speciosus,1.3,6
A,Senegalia Ataxacantha,1.5,2
A,Combretum Hereroense,2.2,3
A,Terminalia Prunioides,0.5,2
A,Lippia Javanica,0.4,4
A,Bolusanthus Speciosus,0.4,1
A,Gymnosporia Senegalensis,0.7,2
A,Combretum Apiculatum,0.5,1
A,Vachellia Nilotica,0.7,2
A,Bolusanthus Speciosus,2.2,7
A,Gardenia Spathulifolia,1.1,2
A,Peltophorum Africanum,2.2,3
A,Lannea Discolor,1.2,1
A,Vachellia Gerrardii,1.9,3
A,Bolusanthus Speciosus,2.1,4
A,Bolusanthus Speciosus,2.5,4
A,Combretum Imberbe,1,1
A,Ormocarpum Trichocarpum,0.4,1
A,Combretum Hereroense,1.1,3
A,Peltophorum Africanum,1.4,3
A,Allophylus Africanus,0.4,4
A,Combretum Imberbe,0.2,1
A,Combretum Hereroense,1.2,3
A,Combretum Hereroense,0.1,1
A,Ozoroa Insignis,0.3,2
A,Bolusanthus Speciosus,1,3
A,Vachellia Gerrardii,2.8,3
A,Euclea Divinorum,1.1,2
A,Berchemia Zeyheri,0.25,4
A,Gymnosporia Senegalensis,1.6,3
A,Vachellia Nilotica,0.3,2
A,Lannea Discolor,1,1
A,Gymnosporia Senegalensis,1,2
A,Combretum Hereroense,1.4,4
A,Dichrostachys Cinerea,1.4,1
A,Euclea Divinorum,0.5,1
A,Senegalia Ataxacantha,1.1,2
A,Combretum Apiculatum,0.1,2
A,Bolusanthus Speciosus,2.5,8
A,Senegalia Ataxacantha,2,4
A,Combretum Hereroense,0.3,1
A,Bolusanthus Speciosus,0.8,1
A,Combretum Hereroense,0.6,2
A,Senegalia Ataxacantha,1.4,4
A,Combretum Hereroense,1.2,2
A,Lippia Javanica,1,3
A,Bolusanthus Speciosus,5.2,1
A,Carissa Bispinosa,3,1
A,Ziziphus Mucronata,1.6,1
A,Vachellia Nilotica,0.2,1
A,Berchemia Zeyheri,1,3
A,Vachellia Karroo,0.9,1
A,Combretum Hereroense,1.3,3
A,Combretum Hereroense,2.2,2
A,Combretum Hereroense,1.4,2
A,Vachellia Karroo,0.4,1
A,Combretum Hereroense,0.35,1
A,Peltophorum Africanum,1.8,4
A,Vachellia Gerrardii,0.5,1
A,Gymnosporia Senegalensis,1.1,1
A,Vachellia Karroo,0.35,1
A,Warburgia Salutaris,0.7,1
A,Peltophorum Africanum,0.8,3
A,Combretum Hereroense,1.3,2
A,Peltophorum Africanum,1.2,4
A,Bolusanthus Speciosus,1.5,2
A,Combretum Hereroense,0.45,6
A,Lannea Discolor,1,2
A,Berchemia Zeyheri,1.5,1
A,Ziziphus Mucronata,0.7,2
A,Combretum Hereroense,2.1,5
A,Vachellia Karroo,0.45,1
A,Carissa Bispinosa,0.7,4
A,Ozoroa Insignis,0.4,1
A,Zanthoxylum Capense,0.5,2
A,Berchemia Zeyheri,1.1,2
A,Euclea Divinorum,1.3,1
A,Cassia Abbreviata,0.4,1
A,Gymnosporia Senegalensis,0.4,1
A,Dovyalis Caffra,0.3,1
A,Carissa Bispinosa,1,3
A,Dichrostachys Cinerea,2.6,2
A,Combretum Imberbe,0.8,3
A,Carissa Bispinosa,1.8,5
A,Warburgia Salutaris,1.4,1
A,Vachellia Nilotica,1,4
A,Vachellia Karroo,0.65,3
A,Vachellia Karroo,1.4,3
A,Combretum Apiculatum,0.8,1
A,Combretum Hereroense,3.5,1
A,Gymnosporia Senegalensis,0.9,1
A,Diplorhynchus Condylocarpon,1.1,4
