Site,Plot,Subplot,Quadrat,Spp_name,DPM Height
A,5,Z4,Q4,,23.6
A,5,Z4,Q5,Heteropogon contortus,18.8
A,5,Z4,Q5,Bothriochloa insculpta,15.6
A,5,Z4,Q5,Urochloa mosambicensis,18.3
A,5,Z4,Q5,,18.6
B,1,Z1,Q1,Eragrostis superba,6.4
B,1,Z1,Q1,Heteropogon contortus,2.8
B,1,Z1,Q1,Cymbopogon excavatus,5.8
B,1,Z1,Q1,,2.6
B,1,Z1,Q2,Eragrostis gummiflua,5.1
B,1,Z1,Q2,Heteropogon contortus,4.2
B,1,Z1,Q2,Cymbopogon excavatus,6.7
B,1,Z1,Q2,,6.2
B,1,Z1,Q3,Cymbopogon excavatus,6.1
B,1,Z1,Q3,Heteropogon contortus,3.7
B,1,Z1,Q3,Melinis repens,3.2
B,1,Z1,Q3,Aristida congesta C,2.4
B,1,Z1,Q4,Eragrostis gummiflua,8.5
B,1,Z1,Q4,Eragrostis rigidior,3.1
B,1,Z1,Q4,Melinis repens,4.4
B,1,Z1,Q4,Heteropogon contortus,4.2
B,1,Z1,,,
B,1,Z1,Q5,Aristida congesta C,6.7
B,1,Z1,Q5,Heteropogon  contortus,6
B,1,Z1,Q5,,6.7
B,1,Z1,Q5,,5.3
B,1,Z2,Q1,Cymbopogon excavatus,2.2
B,1,Z2,Q1,Eragrostis rigidior,8
B,1,Z2,Q1,Heteropogon contortus,14
B,1,Z2,Q1,Aristida  canescens,20
B,1,Z2,Q2,Aristida congesta C,7
B,1,Z2,Q2,Eragrostis rigidior,8.2
B,1,Z2,Q2,Heteropogon contortus,5.9
B,1,Z2,Q2,Aristida  canescens,6.6
B,1,Z2,Q3,Bothriochloa insculpta,2.6
B,1,Z2,Q3,Melinis repens,6
B,1,Z2,Q3,Heteropogon contortus,7.6
B,1,Z2,Q3,,6.6
B,1,Z2,Q4,Cymbopogon excavatus,11.4
B,1,Z2,Q4,Bothriochloa insculpta,22.9
B,1,Z2,Q4,,6.3
B,1,Z2,Q4,,31
B,1,Z2,Q5,Heteropogon contortus,5.6
B,1,Z2,Q5,Melinis repens,7.2
B,1,Z2,Q5,Bothriochloa insculpta,5.2
B,1,Z2,Q5,,7.5
B,1,Z3,Q1,Aristida congesta B,4
B,1,Z3,Q1,Eragrostis rigidior,4.7
B,1,Z3,Q1,Eragrostis superba,4.7
B,1,Z3,Q1,Cymbopogon excavatus,10.5
B,1,Z3,Q1,Hyperrhenia filipendula,
B,1,Z3,Q1,Heteropogon contortus,
