Site,Plot,Subplot,Spp_name,Max_Height,Seedlings,Saplings,Trees
A,1,Z1,Dichrostachys cinerea,2,NA,NA,2
A,1,Z1,Grewia monticola,2.8,NA,NA,2.8
A,1,Z1,Dichrostachys cinerea,1.5,NA,NA,1.5
A,1,Z1,Ziziphus mucronata,2.5,NA,NA,2.5
A,1,Z1,Ziziphus mucronata,2.5,NA,NA,2.5
A,1,Z1,Rhus leptodictya,1,NA,1,NA
A,1,Z1,Rhus leptodictya,0.3,0.3,NA,NA
A,1,Z1,Rhus leptodictya,0.3,0.3,NA,NA
A,1,Z1,Rhus leptodictya,0.3,0.3,NA,NA
A,1,Z1,Rhus leptodictya,0.3,0.3,NA,NA
A,1,Z1,Euclea divinorum,0.9,NA,0.9,NA
A,1,Z1,Vachellia gerrardii,1.8,NA,NA,1.8
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Vachellia gerrardii,1,NA,1,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Senegalia rehmanniana,0.7,NA,0.7,NA
A,1,Z1,Zanthoxylum capense,0.3,0.3,NA,NA
A,1,Z1,Rhus leptodictya,0.5,0.5,NA,NA
A,1,Z1,Berchemia zeyheri,0.7,NA,0.7,NA
A,1,Z1,Rhus leptodictya,1,NA,1,NA
A,1,Z1,Dichrostachys cinerea,1.2,NA,1.2,NA
A,1,Z2,Combretum hereroense,0.25,0.25,NA,NA
A,1,Z2,Combretum hereroense,0.25,0.25,NA,NA
A,1,Z2,Combretum hereroense,0.25,0.25,NA,NA
A,1,Z2,Combretum hereroense,0.25,0.25,NA,NA
A,1,Z2,Combretum hereroense,0.25,0.25,NA,NA
A,1,Z2,Combretum hereroense,0.25,0.25,NA,NA
A,1,Z2,Combretum hereroense,0.25,0.25,NA,NA
A,1,Z2,Combretum hereroense,0.25,0.25,NA,NA
A,1,Z2,Combretum hereroense,0.25,0.25,NA,NA
A,1,Z2,Combretum hereroense,0.25,0.25,NA,NA
A,1,Z2,Vachellia nilotica,0.5,0.5,NA,NA
A,1,Z2,Vachellia nilotica,0.5,0.5,NA,NA
A,1,Z2,Vachellia nilotica,0.5,0.5,NA,NA
A,1,Z2,Vachellia nilotica,0.5,0.5,NA,NA
A,1,Z2,Vachellia nilotica,0.5,0.5,NA,NA
A,1,Z2,Vachellia nilotica,0.5,0.5,NA,NA
A,1,Z2,Vachellia nilotica,0.5,0.5,NA,NA
A,1,Z2,Vachellia nilotica,0.5,0.5,NA,NA
A,1,Z2,Vachellia nilotica,1,NA,1,NA
A,1,Z2,Dichrostachys cinerea,1.6,NA,NA,1.6
A,1,Z2,Ziziphus mucronata,1.6,NA,NA,1.6
A,1,Z2,Ziziphus mucronata,1.6,NA,NA,1.6
A,1,Z2,Gymnosporia senegalensis,1,NA,1,NA
A,1,Z2,Combretum hereroense,2.9,NA,NA,2.9
A,1,Z2,Combretum hereroense,2.9,NA,NA,2.9
A,1,Z2,Combretum hereroense,2.9,NA,NA,2.9
A,1,Z2,Combretum hereroense,2.9,NA,NA,2.9
A,1,Z2,Senegalia ataxacantha,1,NA,1,NA
A,1,Z2,Dichrostachys cinerea,2,NA,NA,2
A,1,Z2,Vachellia gerrardii,2.1,NA,NA,2.1
A,1,Z2,Vachellia gerrardii,2.1,NA,NA,2.1
A,1,Z2,Vachellia gerrardii,2.1,NA,NA,2.1
A,1,Z2,Bolusanthus speciosus,0.7,NA,0.7,NA
A,1,Z2,Peltophorum africanum,1,NA,1,NA
A,1,Z2,Ozoroa insignis,1.4,NA,1.4,NA
A,1,Z2,Ziziphus mucronata,3.3,NA,NA,3.3
A,1,Z2,Ziziphus mucronata,2,NA,NA,2
A,1,Z2,Ziziphus mucronata,2,NA,NA,2
A,1,Z2,Combretum hereroense,1.4,NA,1.4,NA
A,1,Z2,Ziziphus mucronata,0.6,NA,0.6,NA
A,1,Z2,Ziziphus mucronata,0.6,NA,0.6,NA
A,1,Z2,Ziziphus mucronata,0.6,NA,0.6,NA
A,1,Z2,Ziziphus mucronata,0.6,NA,0.6,NA
A,1,Z2,Gymnosporia senegalensis,1.5,NA,NA,1.5
A,1,Z2,Vachellia gerrardii,2,NA,NA,2
A,1,Z2,Warburgia salutaris,0.7,NA,0.7,NA
A,1,Z2,Warburgia salutaris,0.7,NA,0.7,NA
A,1,Z2,Warburgia salutaris,0.7,NA,0.7,NA
A,1,Z2,Warburgia salutaris,0.7,NA,0.7,NA
A,1,Z2,Vachellia nilotica,0.8,NA,0.8,NA
A,1,Z2,Vachellia nilotica,0.8,NA,0.8,NA
A,1,Z2,Vachellia nilotica,0.8,NA,0.8,NA
A,1,Z2,Vachellia nilotica,0.8,NA,0.8,NA
A,1,Z2,Vachellia nilotica,0.8,NA,0.8,NA
A,1,Z2,Ziziphus mucronata,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Combretum hereroense,0.8,NA,0.8,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
A,1,Z2,Elaeodendron papillosum,0.4,0.4,NA,NA
