Year,Site,Plot,Subplot,Fenced,Treatment,Species_name,Max_height(m),No_of_resprouts ,Length_of_ longest_ resprout_(cm),Mode_of_resprouting ,Stem_diameter_(cm),Woody_class,Dead (m)
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,0.2,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,2.3,,,,,,
2024,A,1,Z1,Fenced,C,Peltophorum africanum,3.2,,,,,,
2024,A,1,Z1,Fenced,C,Bolusanthus speciosus,2,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,2,,,,,,
2024,A,1,Z1,Fenced,C,Euclea divinorum,2.6,,,,,,
2024,A,1,Z1,Fenced,C,Euclea divinorum,2.6,,,,,,
2024,A,1,Z1,Fenced,C,Grewia decomovulata,2,,,,,,
2024,A,1,Z1,Fenced,C,Grewia monticola,2,,,,,,
2024,A,1,Z1,Fenced,C,Grewia monticola,2,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.25,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.25,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.25,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.25,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.25,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.25,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,0.25,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,0.6,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.3,,,,,,
