Year,Site,Plot,Subplot,Species_name,DPM_Height,Fencing,Treatment,Encroachment_level,Biomass
2024,A,3,Z4,Cymbopogon excavatus,37.6,Unfenced,TFB,Moderate,7661
2024,A,3,Z4,NA,36.9,Unfenced,TFB,Moderate,7494
2024,A,3,Z4,Heteropogon contortus,6.4,Unfenced,TFB,Moderate,747
2024,A,3,Z4,Aristida adscensionis,18,Unfenced,TFB,Moderate,3131
2024,A,3,Z4,Urochloa mosambicensis,21,Unfenced,TFB,Moderate,3799
2024,A,3,Z4,Hyperrhenia filipendula,23.8,Unfenced,TFB,Moderate,4433
2024,A,4,Z1,Bothriochloa insculpta,19.7,Fenced,TF,Moderate,3508
2024,A,4,Z1,NA,22.4,Fenced,TF,Moderate,4115
2024,A,4,Z1,NA,22.6,Fenced,TF,Moderate,4160
2024,A,4,Z1,NA,25,Fenced,TF,Moderate,4707
2024,A,4,Z1,Brachiaria serrata,21,Fenced,TF,Moderate,3799
2024,A,4,Z1,Eragrostis gummiflua,20.5,Fenced,TF,Moderate,3686
2024,A,4,Z1,Bothriochloa insculpta,20.4,Fenced,TF,Moderate,3664
2024,A,4,Z1,NA,20.5,Fenced,TF,Moderate,3686
2024,A,4,Z1,Heteropogon contortus,22.5,Fenced,TF,Moderate,4137
2024,A,4,Z1,Themeda triandra,22.5,Fenced,TF,Moderate,4137
2024,A,4,Z1,NA,22.5,Fenced,TF,Moderate,4137
2024,A,4,Z1,NA,22.5,Fenced,TF,Moderate,4137
2024,A,4,Z1,Bothriochloa insculpta,24.1,Fenced,TF,Moderate,4501
2024,A,4,Z1,Cymbopogon excavatus,32,Fenced,TF,Moderate,6334
2024,A,4,Z1,NA,34.3,Fenced,TF,Moderate,6877
2024,A,4,Z1,NA,32.5,Fenced,TF,Moderate,6452
2024,A,4,Z1,Bothriochloa insculpta,35.6,Fenced,TF,Moderate,7185
2024,A,4,Z1,Urochloa mosambicensis,27.9,Fenced,TF,Moderate,5376
2024,A,4,Z1,NA,33.3,Fenced,TF,Moderate,6640
2024,A,4,Z1,NA,37,Fenced,TF,Moderate,7518
2024,A,4,Z2,Bothriochloa insculpta,20.5,Unfenced,TF,Moderate,3686
2024,A,4,Z2,Digitaria eriantha,21.7,Unfenced,TF,Moderate,3956
2024,A,4,Z2,NA,22,Unfenced,TF,Moderate,4024
2024,A,4,Z2,Aristida adscensionis,18.7,Unfenced,TF,Moderate,3285
2024,A,4,Z2,Cymbopogon excavatus,19.2,Unfenced,TF,Moderate,3396
2024,A,4,Z2,Heteropogon contortus,18.9,Unfenced,TF,Moderate,3330
2024,A,4,Z2,Digitaria eriantha,18.5,Unfenced,TF,Moderate,3241
2024,A,4,Z2,Aristida adscensionis,20.5,Unfenced,TF,Moderate,3686
2024,A,4,Z2,Heteropogon contortus,20.7,Unfenced,TF,Moderate,3731
2024,A,4,Z2,NA,20.5,Unfenced,TF,Moderate,3686
2024,A,4,Z2,NA,21.4,Unfenced,TF,Moderate,3889
2024,A,4,Z2,Cymbopogon excavatus,36.4,Unfenced,TF,Moderate,7375
2024,A,4,Z2,Heteropogon contortus,36.6,Unfenced,TF,Moderate,7423
2024,A,4,Z2,Andropogon eucomus,32.1,Unfenced,TF,Moderate,6358
2024,A,4,Z2,NA,30.6,Unfenced,TF,Moderate,6006
2024,A,4,Z2,Aristida adscensionis,23,Unfenced,TF,Moderate,4251
2024,A,4,Z2,Themeda triandra,23.1,Unfenced,TF,Moderate,4273
2024,A,4,Z2,NA,21.7,Unfenced,TF,Moderate,3956
2024,A,4,Z2,NA,19,Unfenced,TF,Moderate,3352
2024,A,4,Z2,NA,21.1,Unfenced,TF,Moderate,3821
2024,A,4,Z3,Loudetia simplex,20.2,Fenced,TF,Moderate,3619
2024,A,4,Z3,Bothriochloa insculpta,20.1,Fenced,TF,Moderate,3597
2024,A,4,Z3,NA,20.1,Fenced,TF,Moderate,3597
2024,A,4,Z3,NA,20.4,Fenced,TF,Moderate,3664
2024,A,4,Z3,Bothriochloa insculpta,20.2,Fenced,TF,Moderate,3619
2024,A,4,Z3,Aristida adscensionis,20.3,Fenced,TF,Moderate,3642
2024,A,4,Z3,NA,20.6,Fenced,TF,Moderate,3709
2024,A,4,Z3,NA,20,Fenced,TF,Moderate,3575
2024,A,4,Z3,Bothriochloa insculpta,12.7,Fenced,TF,Moderate,1990
2024,A,4,Z3,Andropogon eucomus,17.2,Fenced,TF,Moderate,2955
2024,A,4,Z3,NA,16.1,Fenced,TF,Moderate,2715
2024,A,4,Z3,NA,17.3,Fenced,TF,Moderate,2977
2024,A,4,Z3,Urochloa mosambicensis,3.7,Fenced,TF,Moderate,296
2024,A,4,Z3,Digitaria eriantha,9.5,Fenced,TF,Moderate,1337
2024,A,4,Z3,Andropogon eucomus,13,Fenced,TF,Moderate,2053
2024,A,4,Z3,Bothriochloa insculpta,11.4,Fenced,TF,Moderate,1720
2024,A,4,Z3,Bothriochloa insculpta,19.6,Fenced,TF,Moderate,3485
2024,A,4,Z3,Aristida adscensionis,20,Fenced,TF,Moderate,3575
2024,A,4,Z3,NA,20.1,Fenced,TF,Moderate,3597
2024,A,4,Z3,NA,20.1,Fenced,TF,Moderate,3597
2024,A,4,Z4,Bothriochloa insculpta,18.3,Unfenced,TF,Moderate,3197
2024,A,4,Z4,Heteropogon contortus,18.9,Unfenced,TF,Moderate,3330
2024,A,4,Z4,Melinis repens,19,Unfenced,TF,Moderate,3352
2024,A,4,Z4,NA,18.9,Unfenced,TF,Moderate,3330
2024,A,4,Z4,Andropogon eucomus,17.9,Unfenced,TF,Moderate,3109
2024,A,4,Z4,Urochloa mosambicensis,19.1,Unfenced,TF,Moderate,3374
2024,A,4,Z4,Cymbopogon excavatus,19.4,Unfenced,TF,Moderate,3441
2024,A,4,Z4,NA,19.4,Unfenced,TF,Moderate,3441
2024,A,4,Z4,Heteropogon contortus,23,Unfenced,TF,Moderate,4251
2024,A,4,Z4,Themeda triandra,22.2,Unfenced,TF,Moderate,4069
2024,A,4,Z4,Eragrostis superba,21.3,Unfenced,TF,Moderate,3866
2024,A,4,Z4,NA,20.8,Unfenced,TF,Moderate,3754
2024,A,4,Z4,Bothriochloa insculpta,19.9,Unfenced,TF,Moderate,3552
2024,A,4,Z4,Heteropogon contortus,19.9,Unfenced,TF,Moderate,3552
2024,A,4,Z4,Digitaria eriantha,19.5,Unfenced,TF,Moderate,3463
2024,A,4,Z4,NA,19.2,Unfenced,TF,Moderate,3396
2024,A,4,Z4,Heteropogon contortus,25.7,Unfenced,TF,Moderate,4868
2024,A,4,Z4,Themeda triandra,17.1,Unfenced,TF,Moderate,2933
