Date,Site,Plot,Subplot,Quadrat,Spp_name,Number,Grazing_value,DPM Height,KgDM,Grazing activity,Quadrat under canopy,Biomass intensity,Dung presence,Longest_grass(m),Fencing,Treatment,
09/04/2025,F,3,Z2,5,Eragrostis rigidior,2,,6.2,1368,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,5,Perotis patens,1,,5.9,1326,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,5,,,,6.2,1368,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,3,Eragrostis viscosa,8,,6.9,1466,N,N,3,N,,Fenced,TF,
09/04/2025,F,3,Z2,3,Digitaria erianthra,5,,6.4,1396,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,3,Eragrostis rigidior,3,,7,1480,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,3,Eragrostis gummiflua,4,,6.8,1452,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,4,Setaria incressata,4,,6.8,1452,N,Y,1,N,,Fenced,TF,
09/04/2025,F,3,Z2,4,Eragrostis rigidior,1,,6.5,1410,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,4,,,,6.3,1382,,,,,,Fenced,TF,
09/04/2025,F,3,Z2,4,,,,6,1340,,,,,,Fenced,TF,
09/04/2025,F,3,Z4,1,Eragrostis rigidior,2,,6.4,1396,N,N,2,N,,Unfenced,TF,
09/04/2025,F,3,Z4,1,Cynodon dactylon,7,,6.6,1424,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,1,Digitaria erianthra,7,,6.4,1396,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,1,,,,6.6,1424,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,4,Cynodon dactylon,4,,7.4,1536,N,N,5,N,,Unfenced,TF,
09/04/2025,F,3,Z4,4,Eragrostis rigidior,3,,8.7,1718,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,4,Digitaria erianthra,2,,8.9,1740,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,4,,,,9.6,1844,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,3,Cynodon dactylon,13,,4.7,1536,N,N,4.5,N,,Unfenced,TF,
09/04/2025,F,3,Z4,3,Digitaria erianthra,7,,6.8,1718,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,3,Setaria incressata,4,,8.6,1704,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,3,,,,9.1,1774,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,5,Cynodon dactylon,12,,11.6,2124,N,N,5,N,,Unfenced,TF,
09/04/2025,F,3,Z4,5,Eragrostis rigidior,1,,9.7,1858,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,5,Pogonarthria squarrosa ,1,,8.3,1662,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,5,Digitaria erianthra,5,,8.1,1634,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,2,Enteropogon macrostachyus,1,,5.1,1214,N,Y,2.5,N,,Unfenced,TF,
09/04/2025,F,3,Z4,2,Digitaria erianthra,3,,5.3,1242,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,2,Setaria incressata,1,,9.4,1816,,,,,,Unfenced,TF,
09/04/2025,F,3,Z4,2,,,,9,1760,,,,,,Unfenced,TF,
